Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
17/2010,0,0,0,1,0
16/2010,0,0,0,1,0
15/2010,0,0,0,1,0
14/2010,0,0,0,1,0
13/2010,0,0,0,1,0
12/2010,0,0,0,1,0
11/2010,0,0,0,1,0
10/2010,0,0,0,1,0
09/2010,0,0,0,1,0
08/2010,0,0,0,1,0
07/2010,0,0,0,1,0
06/2010,1,0,0,0,0
05/2010,1,0,0,0,0
04/2010,1,0,0,0,0
03/2010,0,0,0,1,0
02/2010,0,0,0,1,0
01/2010,0,0,0,1,0
30/2009,0,0,0,1,0
29/2009,1,0,0,0,0
28/2009,1,0,0,0,0
27/2009,1,0,0,0,0
26/2009,1,0,0,0,0
25/2009,1,0,0,0,0
24/2009,1,0,0,0,0
23/2009,1,0,0,0,0
22/2009,1,0,0,0,0
21/2009,1,0,0,0,0
20/2009,1,0,0,0,0
19/2009,1,0,0,0,0
18/2009,1,0,0,0,0
17/2009,0,0,0,1,0
16/2009,0,0,0,1,0
15/2009,0,0,0,1,0
14/2009,0,0,0,1,0
13/2009,0,0,0,1,0
12/2009,0,0,0,1,0
11/2009,0,0,0,1,0
10/2009,0,0,0,1,0
09/2009,0,0,0,1,0
08/2009,0,0,0,1,0
07/2009,0,0,0,1,0
06/2009,1,0,0,0,0
05/2009,1,0,0,0,0
04/2009,1,0,0,0,0
03/2009,1,0,0,0,0
02/2009,1,0,0,0,0
01/2009,0,0,0,1,0
37/2008,0,0,0,1,0
36/2008,0,0,0,1,0
35/2008,1,0,0,0,0
34/2008,1,0,0,0,0
33/2008,1,0,0,0,0
32/2008,0,0,0,1,0
31/2008,0,0,0,1,0
30/2008,0,0,0,1,0
29/2008,1,0,0,0,0
28/2008,1,0,0,0,0
27/2008,0,1,0,0,0
26/2008,1,0,0,0,0
25/2008,1,0,0,0,0
24/2008,1,0,0,0,0
23/2008,0,1,0,0,0
22/2008,1,0,0,0,0
21/2008,1,0,0,0,0
20/2008,0,1,0,0,0
19/2008,0,0,0,1,0
18/2008,0,0,0,1,0
17/2008,0,0,0,1,0
16/2008,0,0,0,1,0
15/2008,0,0,0,1,0
14/2008,0,0,0,1,0
13/2008,0,0,0,1,0
12/2008,0,0,0,1,0
11/2008,0,0,0,1,0
10/2008,0,0,0,1,0
09/2008,1,0,0,0,0
08/2008,0,0,0,1,0
07/2008,0,0,0,1,0
06/2008,0,0,0,1,0
05/2008,0,0,0,1,0
04/2008,0,0,0,1,0
03/2008,0,0,0,1,0
02/2008,0,0,0,1,0
01/2008,0,0,0,1,0
32/2007,0,0,0,1,0
31/2007,0,0,0,1,0
30/2007,0,0,0,1,0
29/2007,1,0,0,0,0
28/2007,1,0,0,0,0
27/2007,1,0,0,0,0
26/2007,1,0,0,0,0
25/2007,0,0,0,1,0
24/2007,0,0,0,1,0
23/2007,0,0,0,1,0
22/2007,0,0,0,1,0
21/2007,0,0,0,1,0
20/2007,0,0,0,1,0
19/2007,0,0,0,1,0
18/2007,0,0,0,1,0
17/2007,0,0,0,1,0
16/2007,0,0,0,1,0
15/2007,0,0,0,1,0
14/2007,0,0,0,1,0
13/2007,0,0,0,1,0
12/2007,0,0,0,1,0
11/2007,0,0,0,1,0
10/2007,0,0,0,1,0
09/2007,0,0,0,1,0
08/2007,0,0,0,1,0
07/2007,0,0,0,1,0
06/2007,1,0,0,0,0
05/2007,1,0,0,0,0
04/2007,0,0,0,1,0
03/2007,0,0,0,1,0
02/2007,0,0,0,1,0
01/2007,0,0,0,1,0
